,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b3893,fdoH,U00096.3,,4081857,4082759,-,formate dehydrogenase O subunit beta,Energy production and conversion,P0AAJ5,Op3813,SdhX,False,False
b3894,fdoG,U00096.3,,4082772,4085822,-,formate dehydrogenase O subunit alpha,Energy production and conversion,P32176,Op3814,"YfeC,ryhB,YfeD,Nac,SdhX",False,False
b3895,fdhD,U00096.3,,4086016,4086849,+,sulfurtransferase for molybdenum cofactor sulfuration,"Translation, ribosomal structure and biogenesis",P32177,Op3815,Nac,False,False
b3896,yiiG,U00096.3,,4087002,4088057,+,DUF3829 domain-containing lipoprotein YiiG,Function unknown,P32151,Op3816,,False,True
b3897,frvR,U00096.3,,4088107,4089855,-,putative DNA-binding transcriptional regulator FrvR,Carbohydrate transport and metabolism,P32152,Op3817,,False,True
b3898,frvX,U00096.3,,4089855,4090925,-,peptidase M42 family protein FrvX,Carbohydrate transport and metabolism,P32153,Op3818,,False,True
b3899,frvB,U00096.3,,4090915,4092366,-,putative PTS enzyme IIBC component FrvB,Carbohydrate transport and metabolism,P32154,Op3819,,True,True
b3900,frvA,U00096.3,,4092377,4092823,-,putative PTS enzyme IIA component FrvA,Carbohydrate transport and metabolism,P32155,Op3820,,False,True
b3901,rhaM,U00096.3,,4093124,4093438,-,L-rhamnose mutarotase,Carbohydrate transport and metabolism,P32156,Op3821,,True,False
b3902,rhaD,U00096.3,,4093448,4094272,-,rhamnulose-1-phosphate aldolase,Carbohydrate transport and metabolism,P32169,Op3822,"RpoD,YeiE,RpoN,Crp,RhaS",True,False
b3903,rhaA,U00096.3,,4094723,4095982,-,L-rhamnose isomerase,Carbohydrate transport and metabolism,P32170,Op3823,"RpoD,Crp,RhaS",True,False
b3904,rhaB,U00096.3,,4095979,4097448,-,rhamnulokinase,Nucleotide transport and metabolism,P32171,Op3824,"RpoD,Crp,RhaS",True,False
b3905,rhaS,U00096.3,,4097736,4098572,+,DNA-binding transcriptional activator RhaS,Transcription,P09377,Op3825,"RpoD,RpoS,Crp,RhaR,RhaS",True,False
b3906,rhaR,U00096.3,,4098646,4099494,+,DNA-binding transcriptional activator RhaR,Transcription,P09378,Op3826,"RpoD,RpoS,Crp,RhaR,RhaS",False,False
b3907,rhaT,U00096.3,,4099491,4100525,-,rhamnose/lyxose:H(+) symporter,Amino acid transport and metabolism,P27125,Op3827,"RpoD,Crp,ArcA,ppGpp,RhaS",True,False
b3908,sodA,U00096.3,,4100810,4101430,+,superoxide dismutase (Mn),Inorganic ion transport and metabolism,P00448,Op3828,"RpoD,Rob,SoxR,fnrS,Fnr,Crp,ArcA,MarA,IHF,SoxS,Fur,ryhB",True,False
b3909,kdgT,U00096.3,,4101690,4102673,+,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,"Intracellular trafficking, secretion, and vesicular transport",P0A712,Op3829,GlaR,False,False
b3910,yiiM,U00096.3,,4102822,4103496,+,6-hydroxyaminopurine reductase,Function unknown,P32157,Op3830,"YeiE,Lrp",False,True
b3911,cpxA,U00096.3,,4103602,4104975,-,sensor histidine kinase CpxA,Signal transduction mechanisms,P0AE82,Op3831,"RpoD,YcjW,RpoS,CpxR,micF",False,False
b3912,cpxR,U00096.3,,4104972,4105670,-,DNA-binding transcriptional dual regulator CpxR,Transcription,P0AE88,Op3832,"RpoD,RpoS,CpxR,micF",False,False
b4484,cpxP,U00096.3,,4105820,4106320,+,periplasmic protein CpxP,Cell motility,P0AE85,Op3833,"RpoD,YidZ,CpxR,cpxQ",True,False
b3915,fieF,U00096.3,,4106469,4107371,+,Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter,Inorganic ion transport and metabolism,P69380,Op3834,YdhB,False,False
b3916,pfkA,U00096.3,,4107552,4108514,+,6-phosphofructokinase 1,Nucleotide transport and metabolism,P0A796,Op3835,"RpoD,RpoS,Cra",False,False
b3917,sbp,U00096.3,,4108834,4109823,+,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,P0AG78,Op3836,,True,False
b3918,cdh,U00096.3,,4109930,4110685,+,CDP-diacylglycerol diphosphatase,Lipid transport and metabolism,P06282,Op3837,,False,False
b3919,tpiA,U00096.3,,4110740,4111507,-,triose-phosphate isomerase,Nucleotide transport and metabolism,P0A858,Op3838,"RpoD,RpoS,Cra",False,False
b3920,yiiQ,U00096.3,,4111615,4112214,-,DUF1454 domain-containing protein YiiQ,Function unknown,P32160,Op3839,ppGpp,False,True
b3921,yiiR,U00096.3,,4112315,4112755,+,DUF805 domain-containing protein YiiR,Function unknown,P0AF34,Op3840,,False,True
b3922,yiiS,U00096.3,,4112967,4113266,+,DUF406 domain-containing protein YiiS,Function unknown,P32162,Op3841,"YeiE,RpoE,YdeO,ppGpp",False,True
b3923,uspD,U00096.3,,4113293,4113721,+,universal stress protein D,Signal transduction mechanisms,P0AAB8,Op3842,"RpoE,YdeO,ppGpp",False,True
b3924,fpr,U00096.3,,4113726,4114472,-,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,P28861,Op3843,"RpoD,ppGpp,MarA,SoxS",True,False
b3925,glpX,U00096.3,,4114569,4115579,-,fructose-1%2C6-bisphosphatase 2,Carbohydrate transport and metabolism,P0A9C9,Op3844,"RpoD,Crp,GlpR",False,False
b3926,glpK,U00096.3,,4115714,4117222,-,glycerol kinase,Nucleotide transport and metabolism,P0A6F3,Op3845,"RpoD,Crp,GlpR,Nac",True,False
b3927,glpF,U00096.3,,4117245,4118090,-,glycerol facilitator,Carbohydrate transport and metabolism,P0AER0,Op3846,"RpoD,Crp,GlpR,spf",True,False
b3928,zapB,U00096.3,,4118515,4118760,+,cell division factor ZapB,"Cell cycle control, cell division, chromosome partitioning",P0AF36,Op3847,,True,False
b3929,rraA,U00096.3,,4118845,4119330,-,ribonuclease E inhibitor protein A,Coenzyme transport and metabolism,P0A8R0,Op3848,"RpoD,RpoS",False,False
b3930,menA,U00096.3,,4119423,4120349,-,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,Coenzyme transport and metabolism,P32166,Op3849,"RpoD,ppGpp,Lrp",False,False
b3931,hslU,U00096.3,,4120416,4121747,-,ATPase component of the HslVU protease,"Post-translational modification, protein turnover, and chaperones",P0A6H5,Op3850,RpoH,True,False
b3932,hslV,U00096.3,,4121757,4122287,-,peptidase component of the HslVU protease,"Post-translational modification, protein turnover, and chaperones",P0A7B8,Op3851,RpoH,True,False
b3933,ftsN,U00096.3,,4122380,4123339,-,cell division protein FtsN,"Cell cycle control, cell division, chromosome partitioning",P29131,Op3852,,False,False
b3934,cytR,U00096.3,,4123431,4124456,-,DNA-binding transcriptional repressor CytR,Transcription,P0ACN7,Op3853,"RpoD,Crp,CytR",False,False
b3935,priA,U00096.3,,4124612,4126810,-,primosomal protein N',"Replication, recombination and repair",P17888,Op3854,,False,False
b3936,rpmE,U00096.3,,4127013,4127225,+,50S ribosomal subunit protein L31,"Translation, ribosomal structure and biogenesis",P0A7M9,Op3855,"RpoH,ppGpp,RpmE",False,False
b3937,yiiX,U00096.3,,4127286,4127894,-,putative lipid-binding hydrolase YiiX,Function unknown,P32167,Op3856,ppGpp,True,True
b3938,metJ,U00096.3,,4128078,4128395,-,DNA-binding transcriptional repressor MetJ,Transcription,P0A8U6,Op3857,"RpoD,Fur",False,False
b3939,metB,U00096.3,,4128672,4129832,+,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,Amino acid transport and metabolism,P00935,Op3858,"RpoD,PhoP,HypT,MetJ",True,False
b3940,metL,U00096.3,,4129835,4132267,+,fused aspartate kinase/homoserine dehydrogenase 2,Amino acid transport and metabolism,P00562,Op3859,"RpoD,PhoP,YcjW,HypT,MetJ",True,False
b3941,metF,U00096.3,,4132616,4133506,+,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,P0AEZ1,Op3860,"RpoD,MetJ",True,False
b3942,katG,U00096.3,,4133835,4136015,+,catalase/hydroperoxidase HPI,Inorganic ion transport and metabolism,P13029,Op3861,"RpoD,Fur,Fnr,ppGpp,OxyR,Nac,SdhX",False,False
b3943,yijE,U00096.3,,4136108,4137013,+,cystine exporter,Amino acid transport and metabolism,P0ABT8,Op3862,,False,True
b3944,yijF,U00096.3,,4137040,4137657,-,DUF1287 domain-containing protein YijF,Function unknown,P32668,Op3863,,False,True
b3945,gldA,U00096.3,,4137932,4139035,-,L-1%2C2-propanediol dehydrogenase/glycerol dehydrogenase,Energy production and conversion,P0A9S5,Op3864,,False,False
b3946,fsaB,U00096.3,,4139046,4139708,-,fructose-6-phosphate aldolase 2,Carbohydrate transport and metabolism,P32669,Op3865,,False,False
b3947,ptsA,U00096.3,,4139720,4142221,-,putative PTS multiphosphoryl transfer protein PtsA,Carbohydrate transport and metabolism,P32670,Op3866,,False,True
b3949,frwC,U00096.3,,4142530,4143609,+,putative PTS enzyme IIC component FrwC,Carbohydrate transport and metabolism,P32672,Op3867,,False,True
b3950,frwB,U00096.3,,4143624,4143944,+,putative PTS enzyme IIB component FrwB,Carbohydrate transport and metabolism,P69816,Op3868,YdhB,False,True
b3951,pflD,U00096.3,,4143995,4146292,+,putative formate acetyltransferase 2,Energy production and conversion,P32674,Op3869,,False,True
b3952,pflC,U00096.3,,4146258,4147136,+,putative pyruvate formate-lyase 2 activating enzyme PflC,"Post-translational modification, protein turnover, and chaperones",P32675,Op3870,YddM,False,True
b3953,frwD,U00096.3,,4147138,4147479,+,putative PTS enzyme IIB component FrwD,Carbohydrate transport and metabolism,P32676,Op3871,,False,True
b3954,yijO,U00096.3,,4147466,4148317,-,putative DNA-binding transcriptional regulator YijO,Transcription,P32677,Op3872,Nac,False,True
b3955,eptC,U00096.3,,4148532,4150265,-,phosphoethanolamine transferase EptC,Function unknown,P0CB39,Op3873,,False,False
b3956,ppc,U00096.3,,4150447,4153098,-,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,P00864,Op3874,"YfeD,Cra,ppGpp,Nac",False,False
b3957,argE,U00096.3,,4153696,4154847,-,acetylornithine deacetylase,Amino acid transport and metabolism,P23908,Op3875,"RpoD,ArgR,ppGpp",True,False
b3958,argC,U00096.3,,4155001,4156005,+,N-acetylglutamylphosphate reductase,Amino acid transport and metabolism,P11446,Op3876,"RpoD,ArgR,ppGpp",True,False
b3959,argB,U00096.3,,4156013,4156789,+,acetylglutamate kinase,Nucleotide transport and metabolism,P0A6C8,Op3877,"RpoD,ArgR,ppGpp",True,False
b3960,argH,U00096.3,,4156850,4158223,+,argininosuccinate lyase,Amino acid transport and metabolism,P11447,Op3878,"RpoD,YidZ,ArgR,ppGpp",True,False
b3961,oxyR,U00096.3,,4158490,4159407,+,DNA-binding transcriptional dual regulator OxyR,Transcription,P0ACQ4,Op3879,"RpoD,RpoS,Crp,OxyR",False,False
b3962,sthA,U00096.3,,4159390,4160790,-,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,P27306,Op3880,"Lrp,ArcA,spf",False,False
b3963,fabR,U00096.3,,4161067,4161771,+,DNA-binding transcriptional repressor FabR,Transcription,P0ACU5,Op3881,,False,False
b3964,yijD,U00096.3,,4161771,4162130,+,DUF1422 domain-containing inner membrane protein YijD,Function unknown,P0AF40,Op3882,,False,True
b3965,trmA,U00096.3,,4162170,4163270,-,tRNA m(5)U54 methyltransferase,"Translation, ribosomal structure and biogenesis",P23003,Op3883,"YfeC,RpoH,Fis,ppGpp",False,False
b3966,btuB,U00096.3,,4163639,4165483,+,cobalamin outer membrane transporter,Inorganic ion transport and metabolism,P06129,Op3884,"RpoD,omrB,omrA,GadX,Adenosylcobalamin",False,False
b3967,murI,U00096.3,,4165428,4166285,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,P22634,Op3885,"RpoD,GadX,Adenosylcobalamin",False,False
b3972,murB,U00096.3,,4172057,4173085,+,UDP-N-acetylenolpyruvoylglucosamine reductase,Cell wall/membrane/envelope biogenesis,P08373,Op3886,,False,False
b3973,birA,U00096.3,,4173082,4174047,+,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,Transcription,P06709,Op3887,YidZ,False,False
b3974,coaA,U00096.3,,4174076,4175026,-,pantothenate kinase,Nucleotide transport and metabolism,P0A6I3,Op3888,,False,False
b3980,tufB,U00096.3,,4175944,4177128,+,translation elongation factor Tu 2,"Translation, ribosomal structure and biogenesis",P0CE48,Op3889,"RpoD,Fis,ppGpp",False,False
b3981,secE,U00096.3,,4177358,4177741,+,Sec translocon subunit SecE,"Intracellular trafficking, secretion, and vesicular transport",P0AG96,Op3890,ppGpp,False,False
b3982,nusG,U00096.3,,4177743,4178288,+,transcription termination/antitermination factor NusG,Transcription,P0AFG0,Op3891,"ppGpp,oxyS",False,False
b3983,rplK,U00096.3,,4178447,4178875,+,50S ribosomal subunit protein L11,"Translation, ribosomal structure and biogenesis",P0A7J7,Op3892,"ppGpp,RplA,DksA",True,False
b3984,rplA,U00096.3,,4178879,4179583,+,50S ribosomal subunit protein L1,"Translation, ribosomal structure and biogenesis",P0A7L0,Op3893,"ppGpp,RplA,DksA",True,False
b3985,rplJ,U00096.3,,4179996,4180493,+,50S ribosomal subunit protein L10,"Translation, ribosomal structure and biogenesis",P0A7J3,Op3894,"ppGpp,RplA,DksA",False,False
b3986,rplL,U00096.3,,4180560,4180925,+,50S ribosomal subunit protein L12,"Translation, ribosomal structure and biogenesis",P0A7K2,Op3895,"ppGpp,RplA,DksA",False,False
b3987,rpoB,U00096.3,,4181245,4185273,+,RNA polymerase subunit beta,Transcription,P0A8V2,Op3896,"ppGpp,RplA,DksA",False,False
b3988,rpoC,U00096.3,,4185350,4189573,+,RNA polymerase subunit beta',Transcription,P0A8T7,Op3897,"RplA,DksA",False,False
b3989,yjaZ,U00096.3,,4189786,4190325,+,protein YjaZ,No COG annotation,P27375,Op3898,"RpoH,ppGpp",False,True
b3990,thiH,U00096.3,,4190735,4191868,-,2-iminoacetate synthase,Coenzyme transport and metabolism,P30140,Op3899,Thiamine diphosphate,True,False
b3991,thiG,U00096.3,,4191865,4192635,-,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,Coenzyme transport and metabolism,P30139,Op3900,Thiamine diphosphate,True,False
b4407,thiS,U00096.3,,4192637,4192837,-,sulfur carrier protein ThiS,Coenzyme transport and metabolism,O32583,Op3901,Thiamine diphosphate,True,False
b3992,thiF,U00096.3,,4192821,4193576,-,sulfur carrier protein ThiS adenylyltransferase,Coenzyme transport and metabolism,P30138,Op3902,Thiamine diphosphate,True,False
b3993,thiE,U00096.3,,4193569,4194204,-,thiamine phosphate synthase,Coenzyme transport and metabolism,P30137,Op3903,"YdcN,Thiamine diphosphate",True,False
b3994,thiC,U00096.3,,4194204,4196099,-,phosphomethylpyrimidine synthase,Coenzyme transport and metabolism,P30136,Op3904,"Lrp,ArcA,Thiamine diphosphate",True,False
b3995,rsd,U00096.3,,4196332,4196808,-,regulator of sigma D,Transcription,P0AFX4,Op3905,"RpoD,RpoS,ArcA,ppGpp,McbR,RcdA,SlyA,SdiA,Lrp,Nac",False,False
b3996,nudC,U00096.3,,4196903,4197676,+,RNA decapping hydrolase,"Replication, recombination and repair",P32664,Op3906,Nac,False,False
b3997,hemE,U00096.3,,4197716,4198780,+,uroporphyrinogen decarboxylase,Coenzyme transport and metabolism,P29680,Op3907,,False,False
b3998,nfi,U00096.3,,4198790,4199461,+,endonuclease V,"Replication, recombination and repair",P68739,Op3908,,False,False
b3999,yjaG,U00096.3,,4199504,4200094,+,DUF416 domain-containing protein YjaG,Function unknown,P32680,Op3909,YeiE,False,True
b4000,hupA,U00096.3,,4200281,4200553,+,DNA-binding protein HU-alpha,"Replication, recombination and repair",P0ACF0,Op3910,"Crp,Fis,Nac",True,False
b4001,yjaH,U00096.3,,4200566,4201261,+,DUF1481 domain-containing protein YjaH,Function unknown,P32681,Op3911,Nac,False,True
b4002,zraP,U00096.3,,4201263,4201688,-,signaling pathway modulator ZraP,Cell motility,P0AAA9,Op3912,"RpoN,ZraR",True,False
b4003,zraS,U00096.3,,4201926,4203323,+,sensor histidine kinase ZraS,Signal transduction mechanisms,P14377,Op3913,"RpoN,Crp,ZraR",False,False
b4004,zraR,U00096.3,,4203320,4204645,+,DNA-binding transcriptional activator ZraR,Transcription,P14375,Op3914,"RpoN,Crp,ZraR,GlaR",False,False
b4005,purD,U00096.3,,4204642,4205931,-,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,P15640,Op3915,"RpoD,PhoP,ppGpp,PurR,RbsR",True,False
b4006,purH,U00096.3,,4205943,4207532,-,bifunctional AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,P15639,Op3916,"RpoD,PhoP,ppGpp,PurR,RbsR",True,False
b4011,yjaA,U00096.3,,4213234,4213617,+,stress response protein,Function unknown,P09162,Op3917,,False,True
b4012,yjaB,U00096.3,,4213680,4214123,-,peptidyl-lysine N-acetyltransferase YjaB,Transcription,P09163,Op3918,,False,True
b4013,metA,U00096.3,,4214280,4215209,+,homoserine O-succinyltransferase,Amino acid transport and metabolism,P07623,Op3919,"RpoD,RpoH,MetJ",True,False
b4014,aceB,U00096.3,,4215478,4217079,+,malate synthase A,Coenzyme transport and metabolism,P08997,Op3920,"RpoD,Crp,ArcA,ppGpp,Cra,IclR,IHF,Lrp,Nac",False,False
b4015,aceA,U00096.3,,4217109,4218413,+,isocitrate lyase,Energy production and conversion,P0A9G6,Op3921,"RpoD,Crp,ArcA,ppGpp,Cra,IclR,IHF",False,False
b4016,aceK,U00096.3,,4218596,4220332,+,isocitrate dehydrogenase kinase/phosphatase,Nucleotide transport and metabolism,P11071,Op3922,"RpoD,Crp,ArcA,ppGpp,Cra,IclR,IHF",False,False
b4017,arpA,U00096.3,,4220301,4222487,-,regulator of acetyl CoA synthetase,Function unknown,P23325,Op3923,,False,True
b4018,iclR,U00096.3,,4222804,4223628,-,DNA-binding transcriptional repressor IclR,Transcription,P16528,Op3924,"IclR,FadR",False,False
b4019,metH,U00096.3,,4223828,4227511,+,cobalamin-dependent methionine synthase,Coenzyme transport and metabolism,P13009,Op3925,"RpoD,Fur,MetR,ppGpp,Lrp",False,False
b4020,yjbB,U00096.3,,4227731,4229362,+,putative inorganic phosphate export protein YjbB,Inorganic ion transport and metabolism,P0AF43,Op3926,Nac,False,True
b4021,pepE,U00096.3,,4229453,4230142,-,peptidase E,Amino acid transport and metabolism,P0A7C6,Op3927,,False,False
b4022,rluF,U00096.3,,4230354,4231226,+,23S rRNA pseudouridine(2604) and tRNA(Tyr) pseudouridine(35) synthase,"Translation, ribosomal structure and biogenesis",P32684,Op3928,,False,False
b4023,yjbD,U00096.3,,4231359,4231631,-,DUF3811 domain-containing protein YjbD,Function unknown,P32685,Op3929,ppGpp,False,True
b4024,lysC,U00096.3,,4231884,4233233,-,aspartate kinase III,Amino acid transport and metabolism,P08660,Op3930,"RpoD,YneJ,ArgP",True,False
b4025,pgi,U00096.3,,4233758,4235407,+,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,P0A6T1,Op3931,"RpoD,SoxS,RpoS",False,False
b4026,yjbE,U00096.3,,4235906,4236148,+,uncharacterized protein YjbE,Function unknown,P0AF45,Op3932,"RpoD,RcsAB,IHF",True,True
b4027,yjbF,U00096.3,,4236262,4236900,+,lipoprotein YjbF,Cell wall/membrane/envelope biogenesis,P32687,Op3933,"RpoD,RcsAB,IHF",True,True
b4028,yjbG,U00096.3,,4236897,4237634,+,capsule biosynthesis GfcC family protein YjbG,Function unknown,P32688,Op3934,"RpoD,RcsAB,IHF",True,True
b4029,yjbH,U00096.3,,4237634,4239730,+,putative lipoprotein YjbH,Cell wall/membrane/envelope biogenesis,P32689,Op3935,"RpoD,RcsAB,IHF",False,True
b4620,yjbT,U00096.3,,4239777,4240055,-,PF17089 family protein YjbT,Function unknown,A5A628,Op3936,,True,True
b4030,psiE,U00096.3,,4240325,4240735,+,putative phosphate starvation-inducible protein PsiE,Function unknown,P0A7C8,Op3937,"RpoD,Crp,ppGpp,PhoB",False,True
b4031,xylE,U00096.3,,4240779,4242254,-,D-xylose:H(+) symporter,Amino acid transport and metabolism,P0AGF4,Op3938,"RpoD,XylR,Crp",False,False
b4032,malG,U00096.3,,4242626,4243516,-,maltose ABC transporter membrane subunit MalG,Inorganic ion transport and metabolism,P68183,Op3939,"RpoD,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",True,False
b4033,malF,U00096.3,,4243531,4245075,-,maltose ABC transporter membrane subunit MalF,Carbohydrate transport and metabolism,P02916,Op3940,"RpoD,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",True,False
b4034,malE,U00096.3,,4245229,4246419,-,maltose ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AEX9,Op3941,"RpoD,YidZ,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",True,False
b4035,malK,U00096.3,,4246784,4247899,+,maltose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P68187,Op3942,"RpoD,Crp,MalT",True,False
b4036,lamB,U00096.3,,4247971,4249311,+,maltose outer membrane channel/phage lambda receptor protein,Cell wall/membrane/envelope biogenesis,P02943,Op3943,"RpoD,YidZ,Crp,MalT,micA",True,False
b4037,malM,U00096.3,,4249554,4250474,+,maltose regulon periplasmic protein,Function unknown,P03841,Op3944,"RpoD,Crp,MalT",True,True
b4039,ubiC,U00096.3,,4252506,4253003,+,chorismate lyase,Coenzyme transport and metabolism,P26602,Op3945,"RpoD,YeiE,Fnr,IHF,NarL,ArcA",False,False
b4040,ubiA,U00096.3,,4253016,4253888,+,4-hydroxybenzoate octaprenyltransferase,Coenzyme transport and metabolism,P0AGK1,Op3946,"RpoD,Fnr,IHF,NarL,ArcA,Lrp,Nac",False,False
b4041,plsB,U00096.3,,4254043,4256466,-,glycerol-3-phosphate 1-O-acyltransferase,Lipid transport and metabolism,P0A7A7,Op3947,"RpoE,ppGpp",False,False
b4042,dgkA,U00096.3,,4256637,4257005,+,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,P0ABN1,Op3948,BasR,False,False
b4043,lexA,U00096.3,,4257115,4257723,+,DNA-binding transcriptional repressor LexA,Transcription,P0A7C2,Op3949,"RpoD,LexA",True,False
b4044,dinF,U00096.3,,4257742,4259121,+,DNA damage-inducible protein F,Defense mechanisms,P28303,Op3950,"RpoD,LexA",True,True
b4045,yjbJ,U00096.3,,4259237,4259446,+,putative stress response protein YjbJ,Function unknown,P68206,Op3951,"Lrp,FliZ,ppGpp",True,True
b4046,zur,U00096.3,,4259488,4260003,-,DNA-binding transcriptional repressor Zur,Inorganic ion transport and metabolism,P0AC51,Op3952,,False,False
b4047,yjbL,U00096.3,,4260321,4260575,+,uncharacterized protein YjbL,No COG annotation,P32693,Op3953,,False,True
b4048,yjbM,U00096.3,,4260599,4261306,+,DUF2713 domain-containing protein YjbM,Function unknown,P32694,Op3954,gcvB,False,True
b4049,dusA,U00096.3,,4261669,4262706,+,tRNA-dihydrouridine synthase A,"Translation, ribosomal structure and biogenesis",P32695,Op3955,,False,False
b4050,pspG,U00096.3,,4262840,4263082,+,phage shock protein G,Function unknown,P32696,Op3956,"RpoN,IHF,ppGpp,PspF,Lrp",True,True
b4051,qorA,U00096.3,,4263248,4264231,-,putative quinone oxidoreductase 1,Energy production and conversion,P28304,Op3957,ppGpp,False,False
b4052,dnaB,U00096.3,,4264314,4265729,+,replicative DNA helicase,"Replication, recombination and repair",P0ACB0,Op3958,,False,False
b4053,alr,U00096.3,,4265782,4266861,+,alanine racemase 1,Amino acid transport and metabolism,P0A6B4,Op3959,,False,False
b4054,tyrB,U00096.3,,4267114,4268307,+,tyrosine aminotransferase,Amino acid transport and metabolism,P04693,Op3960,"RpoD,TyrR,ppGpp",False,False
b4621,yjbS,U00096.3,,4268809,4269012,-,uncharacterized protein YjbS,No COG annotation,P58036,Op3961,,True,True
b4055,aphA,U00096.3,,4269414,4270127,+,acid phosphatase/phosphotransferase,Function unknown,P0AE22,Op3962,"ppGpp,Lrp",False,False
b4056,yjbQ,U00096.3,,4270238,4270654,+,PF01894 family protein YjbQ,Function unknown,P0AF48,Op3963,"GadE,ppGpp,Lrp,Nac",False,True
b4057,yjbR,U00096.3,,4270658,4271014,+,PF04237 family protein YjbR,Function unknown,P0AF50,Op3964,"GadE,ppGpp,Lrp",False,True
b4058,uvrA,U00096.3,,4271049,4273871,-,UvrABC excision nuclease subunit A,"Replication, recombination and repair",P0A698,Op3965,"RpoD,LexA,ArcA",True,False
b4059,ssb,U00096.3,,4274125,4274661,+,ssDNA-binding protein,"Replication, recombination and repair",P0AGE0,Op3966,"RpoD,LexA,ArcA",False,False
b4060,yjcB,U00096.3,,4274760,4275041,-,uncharacterized protein YjcB,Function unknown,P32700,Op3967,"SoxR,Nac",True,True
b4061,pdeC,U00096.3,,4275471,4277057,+,c-di-GMP phosphodiesterase PdeC,Signal transduction mechanisms,P32701,Op3968,"RpoS,Nac",False,True
b4062,soxS,U00096.3,,4277060,4277383,-,DNA-binding transcriptional dual regulator SoxS,Transcription,P0A9E2,Op3969,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",True,False
b4063,soxR,U00096.3,,4277469,4277933,+,DNA-binding transcriptional dual regulator SoxR,Transcription,P0ACS2,Op3970,"RpoD,Fur,Fnr,AcrR,SoxR,Putrescine",False,False
b4064,ghxP,U00096.3,,4278479,4279828,+,guanine/hypoxanthine transporter GhxP,Function unknown,P0AF52,Op3971,ppGpp,True,False
b4065,yjcE,U00096.3,,4279980,4281629,+,putative transporter YjcE,Inorganic ion transport and metabolism,P32703,Op3972,ppGpp,False,True
b4066,yjcF,U00096.3,,4281783,4283075,-,pentapeptide repeat-containing protein YjcF,Function unknown,P32704,Op3973,Nac,False,True
b4067,actP,U00096.3,,4283253,4284902,-,acetate/glycolate:cation symporter,Inorganic ion transport and metabolism,P32705,Op3974,"RpoD,omrB,omrA,RpoN,RpoS,Crp,Fis,IHF",False,False
b4068,yjcH,U00096.3,,4284899,4285213,-,DUF485 domain-containing inner membrane protein YjcH,Function unknown,P0AF54,Op3975,"RpoD,omrA,omrB,RpoS,IHF,Fis,Crp",False,True
b4069,acs,U00096.3,,4285413,4287371,-,acetyl-CoA synthetase (AMP-forming),Nucleotide transport and metabolism,P27550,Op3976,"RpoD,RpoS,Crp,Fis,IHF",True,False
b4821,ytcB,U00096.3,,4287611,4287667,+,protein YtcB,No COG annotation,P0DV20,Op3977,,True,False
b4070,nrfA,U00096.3,,4287764,4289200,+,cytochrome c552 nitrite reductase,Energy production and conversion,P0ABK9,Op3978,"RpoD,FlhDC,ppGpp,IHF,NsrR,NarL,NarP,Fis,Fnr",True,False
b4071,nrfB,U00096.3,,4289245,4289811,+,periplasmic nitrite reductase penta-heme c-type cytochrome,Energy production and conversion,P0ABL1,Op3979,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,False
b4072,nrfC,U00096.3,,4289808,4290479,+,putative menaquinol-cytochrome c reductase 4Fe-4S subunit,Energy production and conversion,P0AAK7,Op3980,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True
b4073,nrfD,U00096.3,,4290476,4291432,+,putative menaquinol-cytochrome c reductase subunit NrfD,Inorganic ion transport and metabolism,P32709,Op3981,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True
b4074,nrfE,U00096.3,,4291512,4293170,+,putative cytochrome c-type biogenesis protein NrfE,"Post-translational modification, protein turnover, and chaperones",P32710,Op3982,"RpoD,YcjW,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True
