From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
AAC76657.1	P0AC75	reviewed	KDTA_ECOLI	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	waaA kdtA b3633 JW3608	Escherichia coli (strain K12)	425
AAC76658.1	P0A6I6	reviewed	COAD_ECOLI	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD kdtB yicA b3634 JW3609	Escherichia coli (strain K12)	159
AAC76659.1	P05523	reviewed	FPG_ECOLI	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg b3635 JW3610	Escherichia coli (strain K12)	269
AAC76660.1	P0A7N9	reviewed	RL33_ECOLI	Large ribosomal subunit protein bL33 (50S ribosomal protein L33)	rpmG b3636 JW3611	Escherichia coli (strain K12)	55
AAC76661.1	P0A7M2	reviewed	RL28_ECOLI	Large ribosomal subunit protein bL28 (50S ribosomal protein L28)	rpmB b3637 JW3612	Escherichia coli (strain K12)	78
AAC76662.2	P25531	reviewed	YICR_ECOLI	UPF0758 protein YicR	yicR b3638 JW5643	Escherichia coli (strain K12)	222
AAC76663.2	P0ABQ0	reviewed	COABC_ECOLI	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC dfp b3639 JW5642	Escherichia coli (strain K12)	406
AAC76664.2	P06968	reviewed	DUT_ECOLI	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	dut dnaS sof b3640 JW3615	Escherichia coli (strain K12)	152
AAC76665.2	P0C093	reviewed	SLMA_ECOLI	Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A)	slmA ttk yicB b3641 JW5641	Escherichia coli (strain K12)	198
AAC76666.1	P0A7E3	reviewed	PYRE_ECOLI	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE b3642 JW3617	Escherichia coli (strain K12)	213
AYC08250.1	P0CG19	reviewed	RNPH_ECOLI	Truncated inactive ribonuclease PH (Truncated inactive RNase PH) (Inactive RNase PH) (Truncated RNase PH)	rph orfE b3643 JW3618	Escherichia coli (strain K12)	228
AAC76668.1	P23839	reviewed	YICC_ECOLI	Endoribonuclease YicC (EC 3.1.26.-)	yicC orfX b3644 JW3619	Escherichia coli (strain K12)	287
AAC76669.2	P23840	reviewed	DIND_ECOLI	DNA damage-inducible protein D	dinD orfY pcsA yicD b3645 JW3620	Escherichia coli (strain K12)	274
AAC76670.2	P0AGM2	reviewed	YICG_ECOLI	UPF0126 inner membrane protein YicG	yicG b3646 JW3621	Escherichia coli (strain K12)	205
AAC76671.2	P25772	reviewed	LIGB_ECOLI	DNA ligase B (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)] B)	ligB yicF b3647 JW3622	Escherichia coli (strain K12)	560
AAC76672.1	P60546	reviewed	KGUA_ECOLI	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk spoR b3648 JW3623	Escherichia coli (strain K12)	207
AAC76673.1	P0A800	reviewed	RPOZ_ECOLI	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ b3649 JW3624	Escherichia coli (strain K12)	91
AAC76674.1	P0AG24	reviewed	SPOT_ECOLI	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]	spoT b3650 JW3625	Escherichia coli (strain K12)	702
AAC76675.1	P0AGJ2	reviewed	TRMH_ECOLI	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] methyltransferase)	trmH spoU b3651 JW3626	Escherichia coli (strain K12)	229
AAC76676.1	P24230	reviewed	RECG_ECOLI	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG radC b3652 JW3627	Escherichia coli (strain K12)	693
AAC76677.1	P0AER8	reviewed	GLTS_ECOLI	Sodium/glutamate symporter (Glutamate permease)	gltS gltC b3653 JW3628	Escherichia coli (strain K12)	401
AAC76678.1	P0AGM9	reviewed	XANP_ECOLI	Xanthine permease XanP	xanP yicE b3654 JW3629	Escherichia coli (strain K12)	463
AAC76679.1	P31433	reviewed	YICH_ECOLI	AsmA family protein YicH	yicH b3655 JW3630	Escherichia coli (strain K12)	569
AAC76680.1	P31434	reviewed	XYLS_ECOLI	Alpha-xylosidase (EC 3.2.1.177)	yicI b3656 JW3631	Escherichia coli (strain K12)	772
AAC76681.2	P31435	reviewed	YICJ_ECOLI	Inner membrane symporter YicJ	yicJ b3657 JW5939	Escherichia coli (strain K12)	460
AAC76682.1	P31436	reviewed	SETC_ECOLI	Sugar efflux transporter C	setC yicK b3659 JW3633	Escherichia coli (strain K12)	394
AAC76683.1	P31437	reviewed	YICL_ECOLI	Uncharacterized inner membrane transporter YicL	yicL b3660 JW3634	Escherichia coli (strain K12)	307
QNV50551.1	P0DSH5	reviewed	YICU_ECOLI	Protein YicU	yicU b4797	Escherichia coli (strain K12)	19
AAC76684.1	P04846	reviewed	NLPA_ECOLI	Lipoprotein 28	nlpA b3661 JW3635	Escherichia coli (strain K12)	272
ABD18705.1	Q2M7X4	reviewed	YICS_ECOLI	Uncharacterized protein YicS	yicS b4555 JW5965	Escherichia coli (strain K12)	97
AAC76685.2	P0ADL1	reviewed	NEPI_ECOLI	Purine ribonucleoside efflux pump NepI (Nucleoside efflux permease-inosine)	nepI yicM b3662 JW5938	Escherichia coli (strain K12)	396
AAC76686.2	P0ADL3	reviewed	YICN_ECOLI	Uncharacterized protein YicN	yicN b3663 JW5637	Escherichia coli (strain K12)	150
AAC76687.2	P31440	reviewed	ADEQ_ECOLI	Adenine permease AdeQ	adeQ yicO b3664 JW5636	Escherichia coli (strain K12)	444
AAC76688.1	P31441	reviewed	ADEC_ECOLI	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	ade yicP b3665 JW3640	Escherichia coli (strain K12)	588
AAC76689.1	P0AGC0	reviewed	UHPT_ECOLI	Hexose-6-phosphate:phosphate antiporter	uhpT b3666 JW3641	Escherichia coli (strain K12)	463
AAC76690.2	P09836	reviewed	UHPC_ECOLI	Membrane sensor protein UhpC	uhpC b3667 JW3642	Escherichia coli (strain K12)	439
AAC76691.2	P09835	reviewed	UHPB_ECOLI	Signal transduction histidine-protein kinase/phosphatase UhpB (EC 2.7.13.3) (EC 3.1.3.-)	uhpB b3668 JW3643	Escherichia coli (strain K12)	500
AAC76692.1	P0AGA6	reviewed	UHPA_ECOLI	Transcriptional regulatory protein UhpA	uhpA b3669 JW3644	Escherichia coli (strain K12)	196
AAC76693.1	P0ADF8	reviewed	ILVN_ECOLI	Acetolactate synthase isozyme 1 small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase I small subunit) (AHAS-I) (ALS-I)	ilvN b3670 JW3645	Escherichia coli (strain K12)	96
AAC76694.1	P08142	reviewed	ILVB_ECOLI	Acetolactate synthase isozyme 1 large subunit (AHAS-I) (EC 2.2.1.6) (Acetohydroxy-acid synthase I large subunit) (ALS-I)	ilvB b3671 JW3646	Escherichia coli (strain K12)	562
AAC76695.1	P03061	reviewed	LPIV_ECOLI	ilv operon leader peptide (ilvBN operon attenuator peptide)	ivbL b3672 JW3647	Escherichia coli (strain K12)	32
ABP93456.1	A5A627	reviewed	TISB_ECOLI	Small toxic protein TisB (LexA-regulated protein TisB)	tisB ysdB b4618 JW3649	Escherichia coli (strain K12)	29
QNV50552.1	P0DSH6	reviewed	YSDE_ECOLI	Protein YsdE	ysdE b4798	Escherichia coli (strain K12)	24
AAC76696.2	P31442	reviewed	EMRD_ECOLI	Multidrug resistance protein D	emrD yicQ b3673 JW5634	Escherichia coli (strain K12)	394
AAC76697.1	P31443	reviewed	YIDF_ECOLI	Uncharacterized protein YidF	yidF b3674 JW3650	Escherichia coli (strain K12)	165
AAC76698.1	P0ADL6	reviewed	YIDG_ECOLI	Inner membrane protein YidG	yidG b3675 JW3651	Escherichia coli (strain K12)	120
AAC76699.1	P0ADM0	reviewed	YIDH_ECOLI	Inner membrane protein YidH	yidH b3676 JW3652	Escherichia coli (strain K12)	115
AAC76700.1	P31446	reviewed	YIDI_ECOLI	Inner membrane protein YidI	yidI b3677 JW3653	Escherichia coli (strain K12)	149
AAC76701.1	P31447	reviewed	YIDJ_ECOLI	Uncharacterized sulfatase YidJ (EC 3.1.6.-)	yidJ b3678 JW3654	Escherichia coli (strain K12)	497
AAC76702.1	P31448	reviewed	YIDK_ECOLI	Uncharacterized symporter YidK	yidK b3679 JW3655	Escherichia coli (strain K12)	571
AAC76703.2	P31449	reviewed	YIDL_ECOLI	Uncharacterized HTH-type transcriptional regulator YidL	yidL b3680 JW3656	Escherichia coli (strain K12)	297
AYC08252.1	P69789	reviewed	PTXB_ECOLI	Phosphotransferase enzyme IIB component GlvB (EC 2.7.1.-) (PTS system EIIB component)	glvB glvC yidN b3682 JW3659	Escherichia coli (strain K12)	161
AYC08253.1	P31452	reviewed	PTXC_ECOLI	Phosphotransferase IIC component GlvC (PTS system EIIC component)	glvC ptiC b3683 JW3660	Escherichia coli (strain K12)	368
AAC76707.1	P31453	reviewed	YIDP_ECOLI	Uncharacterized HTH-type transcriptional regulator YidP	yidP b3684 JW3661	Escherichia coli (strain K12)	238
AAC76708.2	P60872	reviewed	YIDE_ECOLI	Putative transport protein YidE	yidE yibE b3685 JW3662	Escherichia coli (strain K12)	553
AAC76709.2	P0C058	reviewed	IBPB_ECOLI	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB hslS htpE b3686 JW3663	Escherichia coli (strain K12)	142
AAC76710.1	P0C054	reviewed	IBPA_ECOLI	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA hslT htpN b3687 JW3664	Escherichia coli (strain K12)	137
AAC76711.2	P0ADM4	reviewed	YIDQ_ECOLI	Uncharacterized protein YidQ	yidQ b3688 JW5633	Escherichia coli (strain K12)	110
AAC76712.3	P31455	reviewed	YIDR_ECOLI	Uncharacterized protein YidR	yidR b3689 JW5860	Escherichia coli (strain K12)	415
AAC76713.2	P31456	reviewed	CBRA_ECOLI	Protein CbrA (CreB-regulated gene A protein)	cbrA yidS b3690 JW5631	Escherichia coli (strain K12)	354
AAC76714.2	P0AA76	reviewed	DGOT_ECOLI	D-galactonate transporter (D-galactonate/H(+) symporter)	dgoT yidT b3691 JW5859	Escherichia coli (strain K12)	430
AAT48197.1	Q6BF17	reviewed	DGOD_ECOLI	D-galactonate dehydratase (GalD) (EC 4.2.1.6)	dgoD yidU b4478 JW5629	Escherichia coli (strain K12)	382
AAT48198.1	Q6BF16	reviewed	DGOA_ECOLI	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21) (2-oxo-3-deoxygalactonate 6-phosphate aldolase) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (6-phospho-2-keto-3-deoxygalactonate aldolase) (KDPGal)	dgoA yidU b4477 JW5628	Escherichia coli (strain K12)	205
AAC76716.1	P31459	reviewed	DGOK_ECOLI	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase)	dgoK yidV b3693 JW3670	Escherichia coli (strain K12)	292
AAT48199.1	P31460	reviewed	DGOR_ECOLI	Galactonate operon transcriptional repressor (HTH-type transcriptional repressor DgoR)	dgoR yidW b4479 JW5627	Escherichia coli (strain K12)	229
AAT48200.1	P0ADM6	reviewed	YIDX_ECOLI	Uncharacterized protein YidX	yidX b3696 JW5858	Escherichia coli (strain K12)	218
AAC76720.1	P0A8Y5	reviewed	YIDA_ECOLI	Sugar phosphatase YidA (EC 3.1.3.23)	yidA b3697 JW3674	Escherichia coli (strain K12)	270
AAC76721.2	P09996	reviewed	YIDB_ECOLI	Uncharacterized protein YidB	yidB b3698 JW3675	Escherichia coli (strain K12)	132
AAT48201.1	P0AES6	reviewed	GYRB_ECOLI	DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB)	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625	Escherichia coli (strain K12)	804
AAC76723.1	P0A7H0	reviewed	RECF_ECOLI	DNA replication and repair protein RecF	recF uvrF b3700 JW3677	Escherichia coli (strain K12)	357
AAC76724.1	P0A988	reviewed	DPO3B_ECOLI	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)	dnaN b3701 JW3678	Escherichia coli (strain K12)	366
AAC76725.1	P03004	reviewed	DNAA_ECOLI	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	Escherichia coli (strain K12)	467
AYC08254.1	P0DPP8	reviewed	YSDD_ECOLI	Protein YsdD	ysdD b4757	Escherichia coli (strain K12)	26
AAC76726.1	P0A7P5	reviewed	RL34_ECOLI	Large ribosomal subunit protein bL34 (50S ribosomal protein L34)	rpmH rimA ssaF b3703 JW3680	Escherichia coli (strain K12)	46
AAC76727.1	P0A7Y8	reviewed	RNPA_ECOLI	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA b3704 JW3681	Escherichia coli (strain K12)	119
ABD18707.1	P0A8C8	reviewed	YIDD_ECOLI	Putative membrane protein insertion efficiency factor	yidD b4557 JW3682	Escherichia coli (strain K12)	85
AAC76728.1	P25714	reviewed	YIDC_ECOLI	Membrane protein insertase YidC (Foldase YidC) (Inner membrane protein YidC) (Membrane integrase YidC) (Oxa1Ec)	yidC b3705 JW3683	Escherichia coli (strain K12)	548
AAC76729.1	P25522	reviewed	MNME_ECOLI	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE thdF trmE b3706 JW3684	Escherichia coli (strain K12)	454
AAC76730.1	P0AD89	reviewed	LPTN_ECOLI	Tryptophanase operon leader peptide (TnaC)	tnaC tnaL b3707 JW3685	Escherichia coli (strain K12)	24
AAC76731.2	P0A853	reviewed	TNAA_ECOLI	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	tnaA ind b3708 JW3686	Escherichia coli (strain K12)	471
AAC76732.1	P23173	reviewed	TNAB_ECOLI	Low affinity tryptophan permease	tnaB trpP b3709 JW5619/JW5622	Escherichia coli (strain K12)	415
AAC76733.1	P31462	reviewed	MDTL_ECOLI	Multidrug resistance protein MdtL	mdtL yidY b3710 JW3688	Escherichia coli (strain K12)	391
AAC76734.1	P31463	reviewed	YIDZ_ECOLI	HTH-type transcriptional regulator YidZ	yidZ b3711 JW3689	Escherichia coli (strain K12)	319
AAC76735.2	P0ADM8	reviewed	YIEE_ECOLI	Uncharacterized protein YieE	yieE b3712 JW3690	Escherichia coli (strain K12)	249
AAC76736.1	P0AGE6	reviewed	CHRR_ECOLI	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))	chrR yieF b3713 JW3691	Escherichia coli (strain K12)	188
AAC76737.1	P31466	reviewed	ADEP_ECOLI	Adenine permease AdeP	adeP purP yieG b3714 JW3692	Escherichia coli (strain K12)	445
AAC76738.1	P31467	reviewed	YIEH_ECOLI	6-phosphogluconate phosphatase (EC 3.1.3.-)	yieH b3715 JW3693	Escherichia coli (strain K12)	221
AAC76739.1	P31468	reviewed	CBRB_ECOLI	Inner membrane protein CbrB (CreB-regulated gene B protein)	cbrB yieI b3716 JW3694	Escherichia coli (strain K12)	155
AAC76740.1	P31469	reviewed	CBRC_ECOLI	UPF0167 protein CbrC (CreB-regulated gene C protein)	cbrC yieJ b3717 JW3695	Escherichia coli (strain K12)	195
AAT48202.1	P31470	reviewed	YIEK_ECOLI	Uncharacterized protein YieK	yieK b3718 JW5613	Escherichia coli (strain K12)	240
AAC76742.3	P31471	reviewed	YIEL_ECOLI	Uncharacterized protein YieL	yieL b3719 JW5612	Escherichia coli (strain K12)	389
AAC76743.1	P26218	reviewed	BGLH_ECOLI	Cryptic outer membrane porin BglH	bglH yieC b3720 JW3698	Escherichia coli (strain K12)	538
AAC76744.1	P11988	reviewed	BGLB_ECOLI	6-phospho-beta-glucosidase BglB (EC 3.2.1.86) (Phospho-beta-glucosidase B)	bglB b3721 JW3699	Escherichia coli (strain K12)	470
AAC76745.1	P08722	reviewed	PTV3B_ECOLI	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	bglF bglC bglS b3722 JW3700	Escherichia coli (strain K12)	625
AAC76746.1	P11989	reviewed	BGLG_ECOLI	Cryptic beta-glucoside bgl operon antiterminator	bglG bglC b3723 JW3701	Escherichia coli (strain K12)	278
AAC76747.1	P0A9K7	reviewed	PHOU_ECOLI	Phosphate-specific transport system accessory protein PhoU (Pst system accessory protein PhoU) (Negative regulator of Pho regulon)	phoU nmpA b3724 JW3702	Escherichia coli (strain K12)	241
AAC76748.1	P0AAH0	reviewed	PSTB_ECOLI	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB phoT b3725 JW3703	Escherichia coli (strain K12)	257
AAC76749.1	P07654	reviewed	PSTA_ECOLI	Phosphate transport system permease protein PstA	pstA phoT b3726 JW3704	Escherichia coli (strain K12)	296
AAC76750.1	P0AGH8	reviewed	PSTC_ECOLI	Phosphate transport system permease protein PstC	pstC phoW b3727 JW3705	Escherichia coli (strain K12)	319
AAC76751.1	P0AG82	reviewed	PSTS_ECOLI	Phosphate-binding protein PstS (PBP)	pstS phoS b3728 JW3706	Escherichia coli (strain K12)	346
AAC76752.1	P17169	reviewed	GLMS_ECOLI	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS b3729 JW3707	Escherichia coli (strain K12)	609
AAC76753.1	P0ACC7	reviewed	GLMU_ECOLI	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU yieA b3730 JW3708	Escherichia coli (strain K12)	456
AAC76754.1	P0A6E6	reviewed	ATPE_ECOLI	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC papG uncC b3731 JW3709	Escherichia coli (strain K12)	139
AAC76755.1	P0ABB4	reviewed	ATPB_ECOLI	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD papB uncD b3732 JW3710	Escherichia coli (strain K12)	460
AAC76756.1	P0ABA6	reviewed	ATPG_ECOLI	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG papC uncG b3733 JW3711	Escherichia coli (strain K12)	287
AAC76757.1	P0ABB0	reviewed	ATPA_ECOLI	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA papA uncA b3734 JW3712	Escherichia coli (strain K12)	513
AAC76758.1	P0ABA4	reviewed	ATPD_ECOLI	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH papE uncH b3735 JW3713	Escherichia coli (strain K12)	177
AAC76759.1	P0ABA0	reviewed	ATPF_ECOLI	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF papF uncF b3736 JW3714	Escherichia coli (strain K12)	156
AAC76760.1	P68699	reviewed	ATPL_ECOLI	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE papH uncE b3737 JW3715	Escherichia coli (strain K12)	79
AAC76761.1	P0AB98	reviewed	ATP6_ECOLI	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB papD uncB b3738 JW3716	Escherichia coli (strain K12)	271
AAC76762.2	P0ABC0	reviewed	ATPZ_ECOLI	ATP synthase protein I	atpI uncI b3739 JW5611	Escherichia coli (strain K12)	126
AAC76763.1	P0A6U5	reviewed	RSMG_ECOLI	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)	rsmG gidB b3740 JW3718	Escherichia coli (strain K12)	207
AAC76764.1	P0A6U3	reviewed	MNMG_ECOLI	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA trmF b3741 JW3719	Escherichia coli (strain K12)	629
AAC76765.1	P03817	reviewed	MIOC_ECOLI	Protein MioC	mioC yieB b3742 JW3720	Escherichia coli (strain K12)	147
AAC76766.1	P0ACI6	reviewed	ASNC_ECOLI	Regulatory protein AsnC	asnC b3743 JW3721	Escherichia coli (strain K12)	152
AAC76767.1	P00963	reviewed	ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330
AAT48203.1	P0ADN0	reviewed	VIAA_ECOLI	Protein ViaA (VWA domain protein interacting with AAA ATPase)	viaA yieD yieM b3745 JW5610	Escherichia coli (strain K12)	483
AAC76769.2	P31473	reviewed	RAVA_ECOLI	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)	ravA yieN b3746 JW3725	Escherichia coli (strain K12)	498
AAT48204.1	P63183	reviewed	KUP_ECOLI	Low affinity potassium transport system protein Kup (Kup system potassium uptake protein)	kup trkD b3747 JW5609	Escherichia coli (strain K12)	622
AAC76771.2	P04982	reviewed	RBSD_ECOLI	D-ribose pyranase (EC 5.4.99.62)	rbsD b3748 JW5857	Escherichia coli (strain K12)	139
AAC76772.1	P04983	reviewed	RBSA_ECOLI	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728	Escherichia coli (strain K12)	501
AAC76773.1	P0AGI1	reviewed	RBSC_ECOLI	Ribose import permease protein RbsC	rbsC b3750 JW3729	Escherichia coli (strain K12)	321
AAC76774.1	P02925	reviewed	RBSB_ECOLI	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	Escherichia coli (strain K12)	296
AAC76775.1	P0A9J6	reviewed	RBSK_ECOLI	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731	Escherichia coli (strain K12)	309
AAC76776.1	P0ACQ0	reviewed	RBSR_ECOLI	Ribose operon repressor	rbsR b3753 JW3732	Escherichia coli (strain K12)	330
AAC76777.1	P31474	reviewed	HSRA_ECOLI	Probable transport protein HsrA (High-copy suppressor of rspA)	hsrA yieO b3754 JW3733	Escherichia coli (strain K12)	475
AAT48205.1	P31475	reviewed	YIEP_ECOLI	Uncharacterized HTH-type transcriptional regulator YieP	yieP b3755 JW5608	Escherichia coli (strain K12)	230
AAT48206.1	P0A8R9	reviewed	HDFR_ECOLI	HTH-type transcriptional regulator HdfR (H-NS-dependent flhDC regulator)	hdfR pssR yifA yifD b4480 JW5607	Escherichia coli (strain K12)	279
AAC77485.1	P0ADN2	reviewed	YIFE_ECOLI	UPF0438 protein YifE	yifE b3764 JW3737	Escherichia coli (strain K12)	112
AAC77486.2	P22787	reviewed	YIFB_ECOLI	Uncharacterized protein YifB	yifB b3765 JW3738	Escherichia coli (strain K12)	506
AAC77487.1	P62522	reviewed	LPID_ECOLI	ilv operon leader peptide (ilvGMEDA operon attenuator peptide)	ilvL b3766 JW3739	Escherichia coli (strain K12)	32
ACO60011.1	C1P619	reviewed	ILVX_ECOLI	Uncharacterized protein IlvX	ilvX b4669 JW3740.1	Escherichia coli (strain K12)	16
AAC77489.1	P0ADG1	reviewed	ILVM_ECOLI	Acetolactate synthase isozyme 2 small subunit (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II small subunit) (AHAS-II)	ilvM b3769 JW3742	Escherichia coli (strain K12)	87
AAT48207.1	P0AB80	reviewed	ILVE_ECOLI	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE b3770 JW5606	Escherichia coli (strain K12)	309
AAT48208.1	P05791	reviewed	ILVD_ECOLI	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD b3771 JW5605	Escherichia coli (strain K12)	616
AAC77492.1	P04968	reviewed	ILVA_ECOLI	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA b3772 JW3745	Escherichia coli (strain K12)	514
AAC77493.1	P05827	reviewed	ILVY_ECOLI	HTH-type transcriptional regulator IlvY	ilvY b3773 JW3746	Escherichia coli (strain K12)	297
AAC76779.1	P05793	reviewed	ILVC_ECOLI	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747	Escherichia coli (strain K12)	491
AAC76780.1	P0A9L5	reviewed	PPIC_ECOLI	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C)	ppiC parVA b3775 JW3748	Escherichia coli (strain K12)	93
AAT48209.1	P09980	reviewed	REP_ECOLI	ATP-dependent DNA helicase Rep (EC 5.6.2.4) (DNA 3'-5' helicase Rep)	rep b3778 JW5604	Escherichia coli (strain K12)	673
AAT48210.1	P25552	reviewed	GPPA_ECOLI	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)	gppA gpp b3779 JW5603	Escherichia coli (strain K12)	494
AAC76785.1	P0A8J8	reviewed	RHLB_ECOLI	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB mmrA b3780 JW3753	Escherichia coli (strain K12)	421
